Factor,HR,CI_lo,CI_hi,p,type
Factor1,0.10962973988097179,0.007806056563918546,1.5396608733176156,0.10103937790660004,Univariate
Factor2,1.5765007335583032,1.0102858920800133,2.460050746420827,0.04495893122970395,Univariate
Factor3,1.1958057053036104,0.7746080877779236,1.8460319578364968,0.4195775990064483,Univariate
Factor4,0.796156309298842,0.5147812421015112,1.2313286052318118,0.30553846043168414,Univariate
Factor5,0.16175037922626656,0.0002807056821126326,93.20504302917217,0.5743182138891519,Univariate
Factor6,0.8966704946675866,0.597263309057915,1.3461700456296586,0.5988244804532343,Univariate
Factor7,0.977501034181389,0.6524465237703245,1.4645005176884731,0.9121522293641917,Univariate
Factor8,0.8451365751782045,0.5648661454923616,1.2644691780587576,0.4130769142697135,Univariate
Factor9,0.9066892532530584,0.6003073949902022,1.3694407379039635,0.641509842216166,Univariate
Factor1,0.03663982868653568,0.0001680495285044511,7.988579665328397,0.22875058138312943,Multivariate
Factor2,2.6205930383581184,1.0611037772993879,6.472041679249799,0.036749111900857084,Multivariate
Factor3,2.2361115708309596,1.0197588794135686,4.90331102591581,0.044557756923939484,Multivariate
Factor4,1.312449368992747,0.3205831884960834,5.3730931876064485,0.7053723975443027,Multivariate
Factor5,5.945798981385125e-05,1.0805419655620047e-09,3.271740168708121,0.08061456448173265,Multivariate
Factor6,0.6627429929953494,0.35495393456078717,1.2374233160929067,0.196610928123437,Multivariate
Factor7,0.5620225520077695,0.3120654555250573,1.0121894088977856,0.05490824299265688,Multivariate
Factor8,0.6515569488663984,0.37047892470194727,1.1458855802867187,0.13696012205940658,Multivariate
Factor9,0.8314471741449198,0.42797945025539585,1.615274759059198,0.5859042976002788,Multivariate
