,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9
ACTN1,0.0008756253256964918,0.5894257558565308,-3.424858795858653e-05,0.013272075681763616,0.01984416567173553,-0.0043785985515480555,-0.034667016643396456,0.4186075629474192,-0.49116483831979857
AKT1,-0.03171145371247036,0.12124665323189072,0.003404563337527953,0.007561305527424414,-0.002125828882557534,-0.20506411462716634,-0.017812388163764056,0.03421149051068106,-0.10948609141773658
ALDH1A1,-0.1435893420178503,-0.10843423234497838,0.006086494768931868,0.0022395319795611352,-0.013240410555913112,0.4457064754442169,0.1752350126078182,-0.035192884501400706,0.16939086669226636
ANXA2,-0.38883981694501074,0.8682068601800418,-3.427538699073873e-05,-0.0010362396927525754,-0.3967697673136601,-0.00845315854981599,0.198889916644221,0.03481837728662663,-0.11005629915181235
ARHGEF2,0.01812861818458679,-0.00781792326282774,0.0006677100283163352,-0.005427847809819626,0.2710946832903095,-0.16688906054506944,-0.24192691154548798,-0.023433950318323953,-0.19160039879436477
ASCL1,-0.08767914049829574,-1.1967853843244938,-0.00039275624248917974,-0.08017449403464265,-0.004565132735834768,-0.004226567763831353,-0.03475488416967097,0.8051944555578167,0.013342260975963065
ATP1A2,0.0503273634792029,-0.5507465736190406,0.0026955629159681016,0.11465935214913246,0.0033824049762573014,0.031458391174103456,0.13543475164001226,0.3191406214376812,0.18847202138408167
ATR,-0.007533129081020685,-0.13407727771697867,-1.721299531493079e-05,0.0009755738224990159,-0.0010601688788875329,0.014396657717086161,0.013855650568773753,-0.0001312934144847101,-0.1819068605207407
ATRX,-0.01212298167079069,-0.17262978741491278,-4.8398251820651814e-05,-0.1005596524453258,-0.018530317046144006,-0.0002529108052687319,0.014475374954238245,-0.07744698778432302,-0.2113986404784013
AURKB,-0.0075286542953181745,-0.02389802087772413,0.0005875930377255802,-0.9450241844910042,-0.0019127098082536084,-0.0036353003202918596,-0.02210109830808952,-0.0033157358760872594,0.10758518529926879
BCL2A1,-0.10287682835480687,1.014497946659876,0.0004481980859580828,-0.02383781388849182,-0.2114844401435728,0.4127782766455599,-0.0328278251691786,0.07077240399621418,0.25248660017744534
BIRC5,-0.09115920975907772,0.013178530057280974,-8.202572768070889e-05,-1.0088347235264674,0.0019195088563646828,0.0002784762391200131,-0.12623053320641026,0.002043955407557472,0.21132390488357566
BMP2,0.35185003840005696,-0.08546311428659524,0.0014897244204580434,0.026345566818120836,-0.009439571945341417,0.07175788004120828,-0.4145777268443425,0.009510943068244316,0.06525753563791663
BRCA1,-0.18215732112047878,-0.40012568575603336,0.00019494552147680474,-0.28220408354413795,-0.0023462527312723106,0.0018668174079767045,0.19700271416599147,0.0011974739755494512,-0.17838035338940167
BRCA2,-0.10002041123809342,-0.2641094773493266,0.00020772031286790815,-0.6133296826237212,-0.009701188357116303,-0.006372775087943323,0.02231885361716634,-0.0020199765905239073,-0.11972179635594175
BUB1,0.007875202308493007,-0.10632674750004072,-7.757485616663822e-05,-0.8201436135821362,0.0010635446442095206,-0.10907407772970792,0.0051077214990843,0.00022065678146551354,-0.11170107692535101
CA9,0.00018473374866149653,0.777792574473367,0.0023853257826473785,-0.4118726156015566,-0.04941381686155301,-0.02947087012788976,-0.10214096297247588,0.3483497151072961,-0.11251685402856865
CADPS,-0.03216598359008019,-0.31175714684115086,0.018945102507021187,0.11759350271710349,-0.011733587249629057,0.2517695382360777,-0.1945896229264351,0.18100137130631447,-0.12684503205015424
CAMK2A,-0.033256113269085966,0.013870735608183948,1.2834950699868948,0.05720881118086739,-0.1978646264658543,-0.1304465689910228,0.05918077553015766,0.004615446525167729,0.0704724821717176
CASP1,-0.009650577479329453,0.6582523547658541,6.019976786704285e-05,0.0008752302019221132,-0.252619720849869,0.22833526846972296,0.2537660083893755,0.34805682969607354,0.12248643095003907
CASP3,-0.04056775991947677,0.11842655707763351,-7.073571783862343e-05,-0.046051605401610574,-0.006608025323189512,-0.15468113596914485,0.25939220761311965,0.0073005104118140495,0.10274276743855204
CCNB1,-0.0013965843338111436,-0.0292616972577581,-9.036507217400452e-07,-0.6840811682323611,-0.17746284545763766,-0.04447015712071049,0.00457728509592866,0.000359503905967642,0.1426461295777373
CCNB2,0.0018426227255116138,-0.01427143265570535,-4.6545460050535816e-05,-0.981152240174063,-0.006166391580788841,-0.07698910850041085,0.002222706007359248,0.0017343840499812848,0.0976585905935463
CCND1,-0.011227054891233788,-0.521284119986465,0.0003358183466628426,-0.01612677513106044,0.020527497752280858,0.00556695760382113,-0.6920805456475022,0.0013262889468257685,-0.0017262123191044605
CCNE1,-0.2044753117223681,-0.007724315659613306,0.00023909613459631275,-0.12917513117184595,-0.029201179029231184,-0.00893159497939351,0.03600214407237329,-0.041217081773894305,-0.274215403394016
CD163,0.01459513327649102,1.4051888660081566,-7.317363706263951e-05,-0.42314726887024906,-0.018620543057705986,0.3776648598904665,-0.021401199715993302,-0.014319632314276156,0.010434655532048826
CD44,-0.0002508974545551942,0.7504454618599509,0.00015887015602703605,0.005508852557920815,-0.029988421305412107,0.013295634643564704,0.014244541538728976,0.5898374627073124,-0.3301835303690868
CDC20,-0.09194277158774473,-0.006982151458965418,-6.236441558046772e-05,-1.0787763932730565,0.008738817617328394,-0.00197911429158517,-0.14528885608500977,0.14657782417037182,0.030292698395084545
CDC25C,-0.008030804195681026,-0.171457290763863,0.00015171829197839802,-1.010996834855297,-0.13551237993521476,-0.2054067082483212,-0.004168471777401792,0.002026384229573166,0.2463522922410222
CDK1,0.04644493321317812,0.03391654147348533,-0.000369658055801364,-0.8333192730695411,0.00047349796077393943,0.005405536346955975,0.03941855719367987,0.0008563724710320109,0.10569590144765775
CDK4,-0.050283125296329834,-0.4469339611824645,0.0025588402497915734,-0.11531302737853112,-0.009527021111190708,-0.051522593144130865,-0.15818762159636762,-0.045777576603866006,0.02970775409304131
CDK6,0.03214491837116397,0.012385729397915855,-0.001249515621574722,-0.009807617569380173,0.00611211741055131,-0.680841698351738,-0.00852489720729722,-0.021613282640892153,0.06026900540881391
CDKN2A,0.003699381515121109,-0.8197362236039502,0.0044509014772577335,-0.049907404747934876,0.06287128723418536,0.17925125343903736,0.005870770518647411,0.01062017184453607,-0.1250499515517354
CDKN2B,0.009675776957463595,-0.37556963770089946,0.00682555867808506,-0.012928675239745556,-0.04901631816736225,0.30795753210455673,0.029668030126624084,-0.7064569380617656,-0.3241573447494465
CENPF,0.007421981947426017,-0.3942678390255662,-0.0001559545156023266,-0.9732083767034879,-0.03844075106551537,0.007149379598258644,-0.0738100707677853,-0.009167036761704592,-0.32811671927604175
CHI3L1,-0.10736640100238608,1.9505968109519318,-0.0015808647808882078,-0.049841763770169877,-0.03417152334843031,-0.09096522028437368,-0.0750525306097091,0.5273126277221314,0.07771178220381848
CKS2,0.006794237196700364,-0.1718815195278065,7.160372903008558e-05,-0.5030535836457386,0.008279564119943615,0.021194608820477974,0.005815283108776486,0.0037122733942831403,0.18891583667446363
COL1A1,-0.04772876544809817,1.2631524982449516,-0.0007376582846391161,-0.13468766685324368,0.009675172357796722,0.07059618606499458,-0.5404553709210697,-0.5765208561235021,-0.3323609113593532
COL3A1,-0.008356780781712484,1.2846897293561728,-0.0012945148826633065,-0.17331399470779776,0.024893798756552146,0.03902779702372946,-0.3076577260818553,-0.703965290215566,-0.20477063914794189
COL4A1,0.020506436844199196,0.8367130268380626,-0.000686014791761751,-0.3491160682855649,-0.003296136066988907,-0.06911255196150966,-0.22205178117334715,0.002424947378250706,-0.43224962389056953
COL5A2,0.0750913766908157,0.44692677805164743,-0.008189003174153128,-0.24189638237804278,0.01401401714874635,-0.024545401553755966,0.053243025338805594,-0.41783532150592134,-0.34527614391002187
CXCL1,-0.008473109733652145,1.1115460991243917,0.014313114751707122,0.016213706153580698,-0.03782810961030415,0.061741439192395685,0.07331873101195782,0.0272561166782559,0.12129651514183468
CXCL12,-0.03347377360103456,0.10954524097025944,0.0003038075377434346,0.016542181837171387,0.048411535666283666,0.4764484348718332,-0.09451067866188947,-0.40531075372318026,-0.10289395901918816
CXCR4,-0.05373826553599942,0.4672059671962189,0.0001507171856096389,-0.42026557975140666,-0.22201513456819216,0.3614358220558596,0.04630113958420652,0.07969185726689815,0.12122151729027088
DLL3,0.0033046571547853103,-1.2535308460770864,-0.0008778908891343585,-0.011333597056726583,0.01043822388819564,-0.2725075837714967,-0.753941797639228,0.06514493542813654,0.008523940324705765
DNMT3A,-0.23724032660949815,0.0024118437322970102,-1.3818621269616056e-05,-0.013458259224846702,-9.108214845904735e-05,-0.1974849172991253,-0.011494714072796832,-0.03338810336371037,-0.18842476662916963
DPYSL3,0.06386642972497723,-0.06084572815607904,0.0004304379686660357,0.041830880575662796,-0.11508191188041055,-0.00022650413441434647,-0.23630970027276957,0.35010777450275316,0.03539401285265305
DSCAML1,0.08327150124069257,-1.201430714635153,0.001690523411954715,0.00407999640092726,-0.04412430418609004,0.14608583064410913,-0.7799188070360659,0.02484978517654861,-0.07891650319496693
E2F1,-0.3176558689395318,-0.4782418094365219,0.00033717667853020323,-0.5007238544175875,-0.0015446492730081202,0.14064147718939315,-0.01622985660662683,0.012226721609837779,-0.3471925212767321
E2F2,-0.018126315288176147,-0.6309447239572394,0.0003508490474852317,-0.5776964248700873,0.01695309402781401,0.02737134189865364,-0.31453518696457916,-0.003036935585044913,-0.309337491204081
E2F3,0.015606635835516698,-0.11591961828958647,4.5070251693227194e-05,-0.07620091523915799,0.007835434764928829,0.04594455058764446,-0.07762285648311538,-0.0016950615396204144,-0.33713202090026567
EGFR,-0.03943721470620781,-0.4067279743229836,0.005100686250246811,-0.04897263909873833,-0.05153560016269976,-0.6801847741949381,0.5061266343745304,0.1942792446782685,0.029998719658102576
FBLN1,-0.36693732300653853,-0.03488273856580536,0.0021211633365290456,-0.05642286059130073,0.029992379901456315,0.5010852493350189,-0.015634201155484344,-0.4707243869114751,-0.19957887325756918
FBXW7,-0.02180470718839663,-0.19273899258253818,0.007793279413301426,-0.0024654853376089455,0.022374342450188694,-0.05277727659073801,-0.004667352780191713,0.006609988336340522,-0.0610260593733942
FGF2,0.14861296847089894,0.00037399780047038463,7.412224530670392e-05,0.16759885638928698,0.01691761498299397,0.005993637569169267,0.037759834140752443,0.571004078882216,0.0012773305086280977
FGFR1,-0.10701549178934829,0.4658739378479899,-0.00010859311595549806,-0.008502135473054272,0.011520644780670228,-0.29453932766938345,-0.29686625405293393,-0.3220341337496463,-0.2198623056033935
FN1,-0.02097335390148809,0.6189402650638317,-0.0009038053299554666,-0.007382224388698693,-0.13416107554380163,0.033973211091256755,-0.02424529735001,-0.4535159649204688,-0.1741438262421048
FOXM1,-0.1920559210074025,-0.21864033827389287,-7.37187380134449e-05,-0.5883325851154286,0.00520259377700687,-0.17333117909051407,-0.043078660091262364,-0.001516429227526618,-0.2051110047401324
FSCN1,-0.00869635068755548,0.3352877435163609,0.0010084796884686524,-0.0030782068884477477,-0.0014001281932338784,-0.2317664177320544,-0.3320301239988656,-0.00645122395796212,-0.1360942560141466
GABRA1,0.0031397463628676063,0.0025657823443516335,2.6094389972078416,0.006274371058787218,-0.0033475390053189333,-0.01393337023527395,0.6528807487292829,-0.020267526623738125,0.27420242771603237
GAD1,0.04749227687512285,-0.5698414604087175,0.6950264776212866,0.02793677002573496,0.06567753113507496,-0.042466121975546535,-0.3363961806032934,0.43435278545714995,-0.0701696918924782
GAD2,-0.007165100106599547,-0.08933791324736373,2.1043108740572527,0.017201338878015657,-0.0009447558585558655,0.013581911208477019,0.3457115690424315,0.006407560870892333,-0.04306752026327146
GFAP,0.010599990224747613,-0.02286488607222867,0.0010052055481434802,0.02894310945969482,0.006212225455781648,0.30139167258264105,-0.049584825187211995,0.8240582178173634,0.17114489520280418
GLI1,-0.17225334677269594,-0.0639972534002546,0.006448298550815739,-0.0658028399712653,-0.00595721055053223,-0.10949837411302635,0.09840448918853748,-0.02332733876677572,-0.10652171337197745
GPR17,0.036785078417872985,-0.8066158510871039,0.01605090449654305,-0.08336051461619538,-0.004325817573701216,0.0176645433705366,-1.0274830800517878,0.12716962354075437,-0.010539270732456403
GRIN1,-0.023539938245973932,-0.22253911209826066,2.701851438254437,0.010374479351498215,0.0013397240663080483,-0.00280724356865784,-0.013663357001178371,0.009165017937118531,-0.2813386389762292
HIF1A,0.19540326563110352,0.23137876971199414,-1.940606727091092e-05,0.06392669287336451,0.06765407161975402,0.0036946475724500723,0.053883540885632755,0.10592848053649694,-0.016818279720832933
IDH1,-0.005203914951421621,0.2512345317923211,-6.219649599035901e-05,-0.021512523690939003,-0.00028474298474712574,-0.10670148372326942,0.011382353930602341,-0.0006763067012157908,0.05496790627035458
IDH2,-0.01266162116276613,-0.11046142701670425,-5.7702459244753e-06,-0.005178036284032505,-0.0037276697660682413,0.020053427783328404,0.04059851236602039,0.0049384825232631595,-0.06336485838935517
IGFBP2,-0.3035243381138302,0.9138890937297188,0.0006866851273757912,-0.5028092441784987,-0.005249163421821925,-0.48620645328339,-0.22282425070016032,-0.0047853905753730275,0.11461453560275157
INCENP,-0.0017350748048027816,-0.1557598303580984,-5.796492549723468e-05,-0.2541447048401131,-0.012815436157790358,-0.01810291160687659,-0.06927364742617548,0.0005792284423845553,-0.24347947309629228
IQGAP1,-0.012812918782452,0.3927895436127782,-0.00024194671011755898,-0.0023516974341948405,0.005249084416206037,-0.03125759797894111,0.20331004962094926,0.004033022340239752,-0.11846353016506113
ITGA3,-0.050939302810506626,0.9788966288939454,9.229993674895479e-05,0.034068907578818135,0.2170957881132736,-0.01149043307376486,-0.5099368307835661,0.6328846067401606,-0.08686866588934151
ITGB3,0.05664904537704518,0.68983846857842,-0.0011989296096465818,-0.015303792661602075,-0.017527179881977547,-0.07763597471697965,-0.3746356092359719,0.03726523603693281,-0.16525979195635312
KIF11,0.055193618474215445,-0.2156439094837437,-0.0002684511812982554,-0.6421568811356438,-0.005466907235691743,0.0008104643093918379,0.013926040756536062,-0.07887177445930041,-0.1742223324498281
KIF2C,-0.0036694576508018387,-0.22421183451583931,-1.9897440584770266e-05,-0.823126526668958,0.002237664759374102,-0.1596680163000498,-0.12873328976784962,0.0008116857600122328,-0.030743447506181926
LAMC1,-0.04765303293986469,0.4875055524649606,1.5157909793711436e-05,-0.03941168722142161,0.005654612718022357,-0.3152303596031482,-0.008846522920375927,-0.39372073280288383,-0.33816468590425164
LDHB,0.02849828871614982,-0.12468387125214692,0.00019525654372519328,0.0046500119362725,0.0035736582872894465,-0.006264570179687644,-0.02902045674019073,-0.013470457676846,0.10758559039615705
LGALS3,-0.15396049500887582,1.2615427927358884,0.00030972410628387676,-0.03234963553485384,-0.1832467387158943,-0.5806468237117385,0.0052538175662681505,0.40170135785181893,0.11162664391248206
LOXL2,0.37656081263895264,1.0916129685029845,-0.005326748076413318,0.004397544133291171,-0.10268778641386751,-0.22880190831648292,-0.2215184920407372,-0.49702697812511876,-0.2574366703081533
LTBP1,-0.06548538453479613,0.1892612776282305,0.0011305583876619518,-0.013370785627178272,-0.13388000610561032,0.012910456489956295,0.4288891532077734,-0.022141010719670912,-0.31906545244746026
LTBP2,-0.037815378265302804,0.7078933830316129,0.0008383867227669232,0.0483257789339879,0.003199238940599568,0.331692678131126,-0.11352383626359727,-0.05945448924344875,-0.20880777548600019
MAP2,-0.00027982062824148283,-0.6689498684453632,0.0002866657084130662,-0.00145758376450436,0.006227240360416749,-0.19789381850944932,-0.2995359796794669,0.490366985969499,0.05211670343279889
MCM2,-0.1470360359760903,-0.4693686580189183,3.57738171389676e-05,-0.5980721285862367,-0.04854943437946546,0.004998410794175675,0.015094061943823345,0.002173005822006248,-0.1756272575068262
MCM6,-0.14389546980382575,-0.21468077620727577,9.135182010250376e-05,-0.3217683785658197,-0.04095591108734487,-0.006755054998680852,0.14312152338191092,-0.18431202839190622,-0.09238905185200595
MDM2,-0.014263537911359704,0.14358143211252145,-0.0003576888550134648,-0.09367796022214016,-0.010355763749659562,0.003267622301801235,-0.03497018791522857,0.03103233531672151,-0.0811404418221282
MDM4,-0.0641151092396944,-0.4354875103176881,-0.0033103970990459855,0.0002518090555388147,0.0033615948374111546,0.023472701213861604,0.03873853065176495,-0.01540504834251605,0.06213868437321469
MELK,-0.02567919428496204,-0.0067728698058740645,0.0004276586336314981,-1.201529614886594,0.0031489613780870287,0.010536288279174301,0.1029199389106878,0.1143082410029204,-0.09327863921672369
MET,0.06444306747744595,0.452601583932481,0.00755924835141008,0.001062122001602265,0.025469392021593623,0.03243435194363391,0.019578599376851063,0.17084083264123712,-0.05678742148754077
MGMT,-0.16474018175119964,0.20754757007623112,0.0018350767477576877,0.02457124738861753,0.04906054987429236,0.0784989254629927,-0.04784162349113311,-0.04975886593730868,0.2639524089886305
MKI67,-0.004485515634900642,-0.18903736224730344,-0.00016530284534765978,-1.0040766568677009,0.001974326660318337,0.008473234508323445,-0.16723776286512718,-0.006124262886083959,-0.45645174937967814
MLH1,-0.0055453993587424415,-0.0022313410400982944,0.0002460115409230508,-0.12890395321813883,-0.003446024716661152,0.006037302748807887,0.06261683441161923,0.03876918478591409,0.11843382348373709
MMP2,-0.126371542361447,0.38123162025363605,0.0008797290933345935,-0.29776388944951326,-0.016771543434435484,-0.054166949319267875,-0.16524066179694985,-0.22256603764015268,-0.002941181858650554
MMP9,-0.0657713086929052,1.0528100343836475,0.0010271006573232301,-0.4716050594514297,-0.027092472302928924,0.019787755476827793,-0.2451524894751107,-0.0574076666514515,-0.2586521929102454
MSH2,-0.043853826462878734,-0.25920318695813144,7.300784507403144e-05,-0.24332920821177245,-0.015698985014472203,-0.02142151362432403,0.1318174461437469,-0.015329654724834033,-0.10178610994217331
MTOR,0.00665983316948204,-0.2816687934671719,-0.00014977924954060254,-0.0011681427238695258,0.003593475347462783,-0.0013354117726959794,-0.007823954003799784,0.0031862592441698903,-0.2568694638529237
MXRA8,-0.06192307743200571,0.2505313467752626,0.0007961267282298145,0.003534123061806367,0.033404307932229045,0.31738235299341316,0.023839435436657626,-0.06751385784226527,-0.12634958165286217
MYH9,-0.007445529275640024,0.41208915911387894,-4.297572194721997e-05,0.0007704337948317678,0.0025607279138551895,0.13189574649291122,-0.25999044387867987,-0.006923404479180573,-0.42737962863882206
NES,-0.008348374897239956,0.07372568303829254,0.00018385727525278592,-0.04177650967772689,-0.0013226716039736286,-0.42718414409688515,-0.0022175551050065308,0.00023467600495843572,-0.3295721830502002
NF1,0.06177892292655583,-0.34422997767211344,-0.0003883509612654747,0.0022944171946269014,-0.37314288103332854,-0.03168980514779157,0.01214016427459551,-0.005974560403087571,-0.23475745202570303
NOTCH1,-0.13947718185260025,-0.49425872748567723,0.00048781006417275547,0.0010891476143898072,-0.0016702592242994628,-0.2672400657872461,-0.2773015260113573,0.0003444764059697008,-0.3852883288388337
NR2E1,-0.2681672193786691,0.035974077768637834,-0.0007392597951744997,-0.02121437569103004,0.0011680950052460222,-0.027740434380641558,0.44855838434835765,0.9570081699846897,-0.18724889365986672
NR4A1,0.003449999109725223,-0.24177681314040084,0.00012446973444480455,-0.02391648335336853,0.013932220841958236,0.03222222635943371,-0.3867856160498179,0.035205715104193916,-0.010915652769441425
