,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9
ACTN1,-4.6140961466695046e-05,-1.4667789589900916e-05,-2.5214802822727195e-07,-0.0005574059914090835,0.00031130983327817146,-2.383100192535816e-05,-1.601061980750828e-05,5.900073304074692e-06,2.260846736880527e-07
AKT1,-2.481872614085464e-05,-6.260381458610652e-05,6.010088513944981e-05,-9.033404573708935e-06,-0.00015141081055007036,-2.065913603168303e-06,-7.354808867017942e-05,-5.179420325771195e-06,-1.5580614741999025e-06
ANXA2,0.109951166141301,-0.08323643878768092,-2.1594517239660452e-05,0.000887034113216245,0.0933823310661602,0.004190075489682682,1.3439081759991389e-05,-6.220007506226648e-05,9.82553886564029e-07
ARHGEF2,1.1419784921018546e-05,-1.7482916671909534e-06,-8.501864615613019e-07,-9.83144642844334e-05,0.00013359777990832393,-3.1205732420956384e-06,-6.671882308690306e-06,-9.510540497245803e-07,-7.921546425378415e-07
ASCL1,-2.8010086876079038e-05,0.0035374301010605343,7.67184587528736e-07,4.185846824670346e-05,2.9311422576330222e-05,0.0005599026218709096,-1.2121019756435628e-06,-7.9580975272117e-06,7.39498576102912e-07
ATR,5.85864462103528e-07,-5.510148422508358e-06,7.26332498304444e-07,9.023439693578162e-06,3.905178726125356e-06,2.0054405475260986e-06,2.1125767439913398e-06,2.172250744962185e-07,-1.992246145232379e-08
AURKB,1.4884635246619296e-06,-3.208878887562837e-07,2.3536510741818218e-06,-9.122440183484044e-06,-7.486610061061812e-06,-2.385643160753281e-05,6.944066077436683e-07,5.770030952699101e-07,2.496701544440938e-07
BCL2A1,0.00025065569859735273,-6.192588843794848e-05,-2.700773500973591e-05,3.0547792298920106e-05,7.439979181138811e-05,0.00018142475390694405,0.000446051014701185,-2.5583036245356304e-05,1.477145090600207e-06
BMP2,4.9806857506488685e-06,4.496240642240435e-05,-3.182389269117135e-05,1.580881618140576e-05,-2.2420897824101454e-05,-2.7548515010685998e-05,6.1310486619816795e-06,2.0496524627880386e-06,-6.416410218270877e-07
BRCA1,-0.0002669354714825196,-2.8673653768352224e-06,6.32903438850938e-07,-4.788919632692608e-05,0.00039078826479272327,6.044572287692922e-06,-7.586665182227513e-06,2.50433512267166e-06,-1.6192077102788853e-08
BRCA2,-9.116505374034156e-06,2.856390162824958e-06,-7.248417899743344e-07,-0.00015381905136524496,2.8433592922657137e-06,-3.233509904041184e-06,-3.1193599187148325e-06,-6.952419458175894e-06,-2.722173714604363e-07
BUB1,-4.0031143687027625e-05,1.7590799351814106e-05,-1.888451757451086e-06,-9.766752823109295e-05,1.0085951492349238e-05,-8.980596082819904e-06,6.991071319639414e-06,-4.5281846230226835e-07,2.611346919159256e-07
CA9,0.017802077891864214,0.11065350907687736,-1.2093254072692107e-05,0.022077240428674223,0.00082490351105684,0.005301288654363428,-9.684490818120531e-05,-0.004918689803357761,9.067244754905149e-05
CADPS,-0.00012865911543433916,0.0007360312421672449,-0.00032276558291767694,7.839473930594958e-05,-0.0012146862682512042,-0.0028009840165071852,0.0015661488674111178,-0.00011386504962184261,-0.00025363756502769447
CAMK2A,0.001394909962836497,0.08781698427232307,3.799420457127258e-06,9.964229747976118e-05,0.0005432143824749421,0.08899745576277601,-0.0003554777800572544,-0.0004085038351539711,-7.447566449526654e-06
CASP1,0.038542165066394525,-0.0014845818011675952,0.0003079789793127984,0.007414071295761172,0.001638460656801744,4.1619042248033626e-05,-0.0002705032457983159,2.9164126401724286e-06,-1.1629785892177334e-05
CCNB1,0.0003185839799643679,0.0011425803632975843,3.0916738034713877e-06,0.0009877500726959325,-0.002246517116215988,-0.00015805054657761186,-2.3461882490079247e-05,-5.479691714078974e-06,1.4792827281180136e-05
CCNB2,-3.2472524729703624e-06,-4.649206749155069e-05,3.5119438613706786e-07,-3.8429501059643755e-05,0.11045236687833652,-3.145114561568591e-05,-3.0651022392007975e-06,1.0321309720837389e-06,-1.0503399687022342e-07
CCND1,-0.00018190855250707033,0.002075104287905753,9.60450415993989e-05,0.004709526605746105,-0.005872423028605828,-0.0008012905338732758,0.040759818295801754,0.00043166518376139507,9.688532610646378e-05
CD44,9.240807432577195e-05,-8.465558668242777e-05,1.800628241597571e-06,2.491355837390218e-06,0.07034794935108889,-8.21065960047396e-05,-1.3742319092884775e-05,3.8304278235152895e-06,4.5033075963011616e-07
CDC20,3.711501283151141e-05,-5.049756747054885e-06,-1.4378888140026196e-05,-0.005638356676446155,0.00033206231996752057,-0.0002104648513053885,-1.4221347676280655e-05,-3.799491262991358e-06,7.030003928154427e-07
CDC25C,-2.5153927534709846e-06,-5.61333135789385e-06,3.868170518987611e-07,-3.5980589585063566e-06,0.008767378941302915,-1.1064001707649882e-06,1.4068431731928987e-06,-1.54134914513225e-07,-4.941487309103763e-07
CDK4,-7.4175714581955904e-06,-3.4046616378262163e-07,1.1071001162178308e-07,-4.004640103026961e-05,-5.4868754297065556e-06,-6.778849137925277e-06,-3.963195271892686e-06,-9.17846014604547e-08,2.447404335195266e-08
CDK6,7.088781797360458e-07,2.552648511722362e-06,-5.921437066578697e-07,-8.041040388181474e-06,9.758754574366929e-06,-8.310309837356889e-07,6.370547378221413e-08,-4.897754399105225e-07,6.661651763357796e-08
CDKN2A,6.429809439529722e-05,-0.00020068741447463393,8.312834058330162e-07,0.03761786972536041,-8.400595960093896e-05,-0.030352416878206116,-4.3287144867744144e-05,-1.5862356604428212e-05,-1.3790793089583737e-06
CENPF,-6.97802030664953e-06,6.450982239541933e-06,-2.2608300322259918e-07,-2.1143420775100114e-05,3.113759896303733e-05,-1.983361890441613e-06,9.979781851323573e-07,3.0710649839203533e-07,1.4057487876768987e-07
CHI3L1,0.006338268910063721,-0.07521378015779996,-8.189349390060563e-06,-0.0010531878056921002,0.004182000923297471,-0.0010849326409657152,-0.0007999905992936076,-5.450718639549727e-05,-1.2289529131291453e-05
CKS2,-4.89925475254183e-06,-2.4109436007182694e-06,2.4161956637286668e-06,-9.089686165802727e-06,3.8925672359129666e-05,2.9981736062662103e-06,-7.285334314584525e-06,-1.5044444120884744e-06,7.965977062002134e-09
COL1A1,6.857374824351925e-05,-0.00010939161450960338,2.4352399499599216e-06,0.0003598897146789797,0.0003535761209861129,-0.00018557990432360011,-7.807124393119026e-07,7.679385323143816e-07,-4.377154404050568e-07
COL3A1,0.0007707006834154146,-0.00018501289129487918,-2.1982222722095572e-05,-0.00018705032210163821,0.0003108905715865571,2.3688380932459497e-05,0.0037325698048296346,0.08147348240112717,1.2759898669538026e-05
COL5A2,0.08551164612018466,-0.0006799016980614008,5.731798993703199e-05,0.033194255610025904,8.80665982420047e-05,-0.00011472164637737669,-0.0008432316500603625,-2.9273630651057556e-05,-1.8366942136428917e-06
CXCL1,-0.0039211721831825756,-0.0024098371359377977,-0.00020175537639044919,-0.005474939024976777,-0.0005702011989063801,-0.0023828384883336135,0.003156501495802213,0.00012986805963049027,1.3390735896702774e-05
CXCL12,0.0008151366646376718,-0.09031363108480056,-0.0001604438611813783,-0.0008469462610687525,0.0010349795537468124,0.00015370561950492855,-1.116684424088121e-05,-0.00030521912800797604,4.404000138595804e-06
CXCR4,0.12678413713781472,-0.00025964333926970694,-0.00011353915129597336,0.0008468834561430144,0.08150967954106149,-0.0003708840318820193,-5.2614511513260705e-05,7.364423737529611e-06,5.016970547011877e-05
DLL3,-1.6712282990232733e-06,1.5763042374496172e-06,-1.70033453698743e-08,-3.376632818040062e-08,0.0018390565937804885,3.006482019147505e-06,-3.974959265387185e-06,-1.476021262398556e-06,-2.982520375405122e-07
DNMT3A,0.01200089998649677,-0.00038987362925844786,-1.9774288622310324e-05,0.00029817739127054065,0.0022607808281436457,0.00035086940306461485,-0.00010172085659985776,-0.0008733390252601047,-1.5040962558980908e-05
DPYSL3,6.700465659971794e-07,-2.612329660552142e-06,-2.529019335101343e-07,-1.65484938129404e-05,7.211919002732788e-05,-1.080484363308475e-06,-5.510686340539967e-07,-7.487437480006035e-07,-2.525428238105864e-07
DSCAML1,-0.000520136369521151,7.04697734752412e-05,5.014481868192457e-06,-0.0007339079514055534,8.297550407950544e-05,0.00034092417259208964,0.0017458015705440458,1.4735511205565902e-05,-1.8979344732142093e-05
E2F1,-4.5066476612450534e-07,1.1086686112761304e-06,1.52163592088246e-08,-1.0234918004335245e-06,1.5599372453423601e-06,-4.917411105782175e-07,-3.0749686720930823e-07,-6.155498937538797e-08,7.089288571523208e-08
E2F2,6.659213010045216e-06,-6.571828725159903e-07,3.088302697693123e-07,-6.736357060239097e-06,1.3365373117809082e-06,5.789451693655387e-05,-4.816386924851435e-07,2.257150659092103e-09,1.5733152534904578e-07
E2F3,-4.859318575126663e-06,1.7795266272383189e-06,2.2100206314800646e-07,-1.2597930068445899e-05,4.864571178297793e-06,-1.7989939517241417e-05,-1.0446691543180989e-05,9.054059507468875e-07,-3.88333740920595e-08
EGFR,4.85094778851082e-06,-6.694092421035827e-07,-4.819560717682254e-08,2.348738598919562e-06,4.187212334529875e-06,9.596118634351787e-06,-1.7528069395671646e-06,-1.5476971130572654e-06,-5.108923659892371e-08
FBLN1,0.001513929972859192,-0.0017155543238469048,7.4581935120297234e-06,-0.00022700228274691415,-0.00021381045908524022,-0.05523760535600009,-0.0003310238892238585,0.0006657428078708349,0.0005626067483970581
FBXW7,-7.377115738506886e-08,1.1199184893862505e-07,-2.3706209544950504e-07,-1.4991959786748653e-05,-2.6835287450531774e-06,-1.1924009257963938e-06,-1.8948472859591235e-06,6.19478116788437e-09,-7.554684596564935e-08
FGF2,5.394873190084594e-07,6.0547923738513225e-06,-2.259955773705819e-07,-5.463878796683305e-06,-1.1879635258513662e-06,-7.5017539294709e-07,-6.789355165279005e-07,-1.5316531658579905e-06,-4.089283255758929e-09
FGFR1,0.0010347044711414403,-0.002209206693644095,-5.3858498531580165e-05,0.0006054097060808131,0.0008597139552393041,-0.013972960143622228,0.006011675971932362,0.002625545781370764,5.556811240680618e-05
FN1,-4.258360132459369e-05,7.162729197440456e-05,1.564361450013555e-05,0.02216686527396531,0.03540130923192608,-6.741475113274003e-05,-2.2920074509961803e-05,4.335688232960257e-06,-5.199681460809561e-07
FOXM1,5.6283464437446826e-06,-2.2027511965035165e-06,1.0029206061492546e-07,3.971461068488336e-05,2.5557248559830937e-05,5.835267570515222e-06,1.5061018341054534e-06,4.2684499772864426e-07,-1.6073343763698425e-07
FSCN1,0.0016548217972694387,-6.621850440171672e-05,-0.00020171333426249947,-0.00046816351019311715,0.00020645991281590718,-0.0006691259637965254,7.902273409607275e-05,1.7566603165128586e-05,-1.0850530584116033e-06
GABRA1,0.12149805843888398,-0.000112668915445607,-7.376762180581833e-05,-0.0012022735951528782,0.0947978313414162,-0.0028138857395034167,0.0003306188170298093,4.90809923690095e-05,-1.3018815553065163e-05
GAD1,-2.4491376778224514e-06,5.530953001742344e-08,5.250275136547975e-08,-3.430767221193505e-05,6.799942491466971e-06,1.965934353835108e-07,-3.128227839341956e-07,1.3292793240619685e-07,-8.737171172959995e-08
GAD2,-0.000530193233124268,-0.009183353699406076,0.00012147790907847958,0.0007482142384062096,-0.0003553013832628899,-0.00012898412396355064,-0.00011230703228374387,-8.601890717842815e-05,-5.329643203755249e-05
GFAP,-3.730349422323513e-05,0.08216572168640768,-9.282124997667369e-07,0.02687208032416565,-0.0003508558075692118,0.05460013883322986,7.61564904941125e-05,8.983206744925057e-07,5.092294504415267e-06
GLI1,0.013155177240549806,-1.2582017281178579e-06,-3.869992317701013e-07,0.0002527515363264327,0.00018515268695648413,0.0008310776651863374,-0.0003134091333789854,2.4449325333701997e-05,-6.865271304326505e-06
GRIN1,-6.530466232752561e-05,9.945847259505502e-05,-1.2236945024534283e-05,3.3674075782054666e-05,-2.921232349637899e-05,-0.0002469257797377075,7.668877686763913e-06,1.9895339376510034e-05,-9.541963449996236e-07
HIF1A,-3.3992765084064485e-06,1.1667304858524314e-06,3.9779819908978096e-08,-8.11792353174293e-06,4.7281159691942165e-06,4.574967946983781e-06,-1.5287227217211643e-06,-5.682604959158625e-08,1.0467769667662016e-07
IDH1,1.5119322493255532e-06,4.694861288281012e-07,-6.98582764758559e-09,-1.210312649268751e-05,2.5039227939468456e-05,-4.807576789805361e-06,-1.6353871207585705e-07,2.8043468599310603e-07,1.882966792609352e-07
IGFBP2,-2.930679254124508e-06,-4.911788160460845e-06,1.8834476703326484e-06,1.4801318455774393e-05,1.5174432695876519e-05,-4.032212568464393e-06,2.4146122591339056e-07,1.1568896895158162e-07,-6.067580361300994e-08
IQGAP1,0.0026254339729253353,-0.0052096437813637115,3.386528498628199e-05,-0.0017153826105914568,-0.0013767575888886151,-0.0004991603303251076,-0.00042949051079439195,0.00011614172045734457,-3.795298955952737e-05
ITGA3,0.12652330353749844,-0.009854472843942658,3.922451437158665e-05,0.001099415784002609,-0.0025102077463129715,-0.0018129275554005417,0.0008208372743662824,5.032361993195998e-05,-1.2021030328400152e-05
ITGB3,0.0011491960175256076,0.00019965651560433368,-3.271187487713212e-05,0.0011449418476881393,0.000528426921143044,-0.009617269502095212,0.04987202884428894,-1.1888187738102002e-05,-2.1101720262677553e-06
KIF11,-1.0122084743013278e-05,8.843800450766033e-07,1.4248282913792717e-07,-3.567253281734668e-05,5.707795219119475e-06,-0.00013344675154822237,-1.3047347786168722e-06,6.210626920824545e-07,6.619088767240527e-09
KIF2C,-0.0002331411614947,-0.00021618032702827564,7.079747628856484e-06,-0.002504209574381233,-0.0002697525942363524,-0.0012713879914062949,5.321960181663279e-05,4.625753165923617e-05,-5.542194191271809e-07
LAMC1,-1.8537709856842983e-06,1.9110608637594872e-06,1.1803108003906708e-07,-1.546914716838774e-06,1.1762010136020014e-05,-5.155843468745e-06,1.07213920511517e-06,-1.8107011952520193e-07,3.932702022099955e-09
LDHB,2.394071601753935e-06,-1.4595828261779227e-05,5.119782904496804e-07,-1.5872858539534e-06,-2.577314993657576e-07,-2.2297859839382045e-06,-1.8382987510628823e-06,-4.80340505105515e-07,-8.141621492861204e-08
LGALS3,0.1658573099053285,0.00010666085135121672,3.8835615551697005e-06,0.0012941995364725669,0.1141957280420167,0.0015852293240972007,0.0001038151023813048,2.4813346006894094e-06,4.336281994459848e-07
LOXL2,0.06688498153257506,-0.0023997827473724778,-1.1311961331014954e-05,0.00019656659302614427,0.023483903313392195,-0.01938048636867975,8.875567087421137e-05,0.0006725448515556826,1.3221886740813489e-05
LTBP1,0.1594575158642938,-1.1113032569090245e-05,-3.5097381915460404e-05,-0.00030176923201145916,0.10705298600859241,-0.00021056178260638378,5.30808208336435e-05,7.14554439989641e-07,2.8579474671927463e-06
LTBP2,-0.0009698008010019865,0.00028380647115438244,-0.00022425967028012644,-0.002806771330855598,0.01016429887926512,-0.004765631745423259,0.0012085374453515783,0.0002616166499364786,-2.0332379055479968e-05
MAP2,0.00018984926230225123,0.04760013243898717,1.0925136942533164e-05,0.0005898504120260558,-0.00018428606546709936,0.045324131823681744,6.723586046839063e-06,1.0021007551115814e-05,1.2960791533699474e-06
MCM2,0.05514079253272878,-0.00031075266054649063,2.991567373534166e-06,0.02675238238803139,0.05258898524820413,-3.695227575111991e-05,-3.8164507872101995e-05,2.9238137014438545e-09,-1.1445317509901175e-05
