,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9
ALK,0.013001567592955631,-0.0006935615446542944,-0.0005315907038407816,0.00026304114604682827,-8.458211028960115e-05,0.000710935291683142,-0.0006971325775360098,3.051905477804592e-05,-7.18341705206764e-05
ATRX,0.24306612122478677,-0.000958071504767678,-0.0024898635626271733,-0.0007947353910763123,-0.0009337039137283056,0.0005266994727153833,0.0010648828164878685,-0.00028994744087436277,-0.0010207917277104696
BRAF,-0.00123654339148037,0.0009891691647867596,-0.0007894894046106811,-0.00013809221333022434,-0.000197368118219951,-0.00020069631141804342,-0.000545584269508841,-6.012955913934076e-05,0.00024221745669223218
CCND2,-0.00123654339148037,0.0009891691647867596,-0.0007894894046106811,-0.00013809221333022434,-0.000197368118219951,-0.00020069631141804342,-0.000545584269508841,-6.012955913934076e-05,0.00024221745669223218
CDKN2B,-0.0013494636490510845,0.001310403151826378,-0.0012003966132367037,-0.00030291439208044823,-4.317364614024406e-05,0.0004685795657220214,0.00031544317478058215,-0.004642983818803581,-0.0018126052948123862
EGFR,-0.014354939482696854,-0.0007061806896442027,0.004052168748562213,0.0007210492080012214,-0.0018680685711775296,-0.0005143691538391807,0.0058849229514336505,0.0015095289938831904,0.00028121933495966285
GLI1,-0.00123654339148037,0.0009891691647867596,-0.0007894894046106811,-0.00013809221333022434,-0.000197368118219951,-0.00020069631141804342,-0.000545584269508841,-6.012955913934076e-05,0.00024221745669223218
IDH1,2.156379278719069,0.00012424857213392987,0.00023752257162402336,0.0008619848970161973,-0.00337971675598625,0.00018901313993281154,0.0011949110079429689,-0.000292048192205193,0.0003933300462198358
KMT2C,-0.0008205421128355066,0.00018717925625522366,-0.001079676351432377,-0.0005502180543724965,-0.00039755179106252294,0.00019486971702029662,0.0009503595571552762,-1.799207795577426e-05,-0.001766136740168027
KMT2D,-0.0013023647808103089,-0.00024544914423837836,0.0011009963320936754,-0.0002694493243706437,-0.00021555396948139108,-0.0009047389268111813,-0.0005929074077515878,0.0004446688371553786,-0.00019452259622406974
MYCN,-0.0009207631551170056,-0.00018441613725374859,5.825815929642838e-05,-0.000372157897960601,-0.00019140833186294555,0.000720918172717912,0.0010071533873376134,0.0004891648639852499,-0.0003350783250902219
NF1,-0.0009125862181358923,0.0019348017150879126,0.0009926543516290659,0.0006586659182405173,0.00658756787289051,0.002346687629308902,-0.0008713505851347972,7.751947281823558e-06,0.001246282746246732
PDGFRA,-0.0005453095952122947,-0.0006915710011668023,0.00014144767854519437,-0.0006242199716422753,-0.0002520436047609238,0.00036115489919776804,-0.002187380258859486,-0.00020745586948481352,0.00019463799995159676
PIK3CA,0.02259300095040401,-0.0016329546516233927,-0.000579984989885627,-0.0012465119510402494,-0.0007808093576673944,0.00018478122049775844,-0.001394008791365518,-0.0003828114278773111,0.0006573777531913637
PIK3R1,0.010337833129070396,-0.00019050280129488388,0.0002911577113295064,0.0006925918864716526,-0.00032284858601277475,4.337593947294652e-05,-0.0005314275758889237,0.0005629474353461007,-0.0004622078952662578
PTEN,-0.01772329494528747,0.0029824908222831482,-0.0014592296203772236,-0.001068391366565552,-0.0023090557920650576,-0.0011428163184250045,0.004540769294777261,0.0024221306573659787,-0.004044089719098207
RB1,-0.0015998616752297336,0.00035706880461750684,-0.0013837121690930783,-0.001215629038464743,-0.0004947168203078324,0.0004271192529034874,0.0024012220547697687,0.0004613830245104581,-0.003044541248594044
SETD2,-0.002050460964582528,-0.0004224564090352634,0.00046353717448935887,-0.0011253558403081685,-0.0006454295400158928,-0.00014736187475286494,-0.0036935016956807635,0.00014698767360713744,0.0008549025529920292
SMARCA4,-0.0009069704821596281,-0.0007718330227915184,0.0013759190499978194,0.0002815511051690997,-0.0001809676735450572,0.00044928812389752,0.00017265900084173594,-0.00019052845912895307,0.0006318220643225914
STAG2,-0.0006365046159143806,0.00026872928142967535,-0.00018219000886440936,-0.00010574779072460675,-0.00024211309092637102,-0.0004401106475478466,0.0007879027061784332,0.00023282002697301736,0.001756517931250385
TERT,-0.0010532749065363404,0.0006818565971540299,-0.0005487301294852954,0.00031752764447957177,-0.00023669534377236586,-0.0006989244328477674,0.0004787282857535433,0.00047689718505356687,0.00035667192556968863
TP53,2.550395041549079,-0.0028316845862565937,0.00014420203798217753,-0.0015233227386930509,0.0012417056506836648,0.0010745906435360567,-0.0040997114346761985,0.0002677636700093213,-0.0033051026090769996
